pdb_path	finalscore	n_events	error
Cluster_0_muOR_6QZH_0680.pdb	5.5	9	
Cluster_0_muOR_6QZH_0685.pdb	5.5	8	
Cluster_0_muOR_6QZH_0685_2.pdb	5.5	8	
Cluster_0_muOR_6QZH_0687.pdb	6.0	9	
Cluster_0_muOR_6QZH_0689.pdb	6.0	8	
Cluster_0_muOR_6QZH_0690.pdb	5.5	7	
Cluster_0_muOR_6QZH_0693.pdb	6.0	8	
Cluster_0_muOR_6QZH_0691.pdb	5.0	7	
Cluster_0_muOR_6QZH_0697.pdb	8.5	14	
Cluster_0_muOR_6QZH_0702.pdb	7.0	12	
Cluster_0_muOR_6QZH_0703.pdb	4.5	6	
Cluster_0_muOR_6QZH_0705.pdb	4.0	6	
Cluster_0_muOR_6QZH_0711.pdb	5.5	7	
Cluster_0_muOR_6QZH_0712.pdb	4.5	7	
Cluster_0_muOR_6QZH_0710.pdb	7.0	12	
Cluster_0_muOR_6QZH_0713.pdb	8.0	11	
Cluster_0_muOR_6QZH_0713_2.pdb	8.0	11	
Cluster_0_muOR_6QZH_0715.pdb	6.0	8	
Cluster_0_muOR_6QZH_0718.pdb	6.0	8	
Cluster_0_muOR_6QZH_0714.pdb	8.0	12	
Cluster_0_muOR_6QZH_0727.pdb	5.5	7	
Cluster_0_muOR_6QZH_0718_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0724.pdb	5.5	8	
Cluster_0_muOR_6QZH_0728.pdb	3.5	4	
Cluster_0_muOR_6QZH_0742.pdb	8.0	11	
Cluster_0_muOR_6QZH_0756.pdb	3.5	4	
Cluster_0_muOR_6QZH_0738.pdb	4.0	5	
Cluster_0_muOR_6QZH_0743.pdb	7.0	10	
Cluster_0_muOR_6QZH_0808.pdb	7.0	8	
Cluster_0_muOR_6QZH_0840.pdb	5.0	6	
Cluster_0_muOR_6QZH_0791.pdb	7.0	10	
Cluster_0_muOR_6QZH_0843.pdb	5.5	8	
Cluster_0_muOR_6QZH_0862.pdb	4.0	6	
Cluster_0_muOR_6QZH_0859.pdb	7.0	10	
Cluster_0_muOR_6QZH_0857.pdb	5.0	7	
Cluster_0_muOR_6QZH_0895.pdb	4.0	6	
Cluster_0_muOR_6QZH_0893.pdb	6.0	8	
Cluster_0_muOR_6QZH_0929.pdb	9.0	12	
Cluster_0_muOR_6QZH_0930.pdb	7.0	9	
Cluster_0_muOR_6QZH_0939.pdb	6.0	8	
Cluster_1_muOR_6QZH_0003.pdb	4.0	5	
Cluster_0_muOR_6QZH_0935.pdb	8.0	12	
Cluster_0_muOR_6QZH_0942.pdb	6.0	7	
Cluster_1_muOR_6QZH_0015.pdb	7.0	10	
Cluster_1_muOR_6QZH_0008.pdb	5.5	8	
Cluster_1_muOR_6QZH_0017.pdb	5.5	7	
Cluster_1_muOR_6QZH_0018.pdb	4.5	7	
Cluster_1_muOR_6QZH_0020.pdb	5.5	6	
Cluster_1_muOR_6QZH_0042.pdb	6.0	9	
Cluster_1_muOR_6QZH_0024.pdb	6.0	9	
Cluster_1_muOR_6QZH_0050.pdb	8.0	11	
Cluster_1_muOR_6QZH_0059.pdb	6.0	9	
Cluster_1_muOR_6QZH_0063.pdb	5.5	8	
Cluster_1_muOR_6QZH_0073.pdb	4.0	5	
Cluster_1_muOR_6QZH_0075.pdb	7.0	8	
Cluster_1_muOR_6QZH_0078.pdb	5.5	6	
Cluster_1_muOR_6QZH_0081.pdb	5.5	6	
Cluster_1_muOR_6QZH_0095.pdb	5.5	7	
Cluster_1_muOR_6QZH_0099.pdb	8.0	12	
Cluster_1_muOR_6QZH_0103.pdb	5.0	7	
Cluster_1_muOR_6QZH_0108.pdb	5.5	8	
Cluster_1_muOR_6QZH_0101.pdb	7.5	10	
Cluster_1_muOR_6QZH_0122.pdb	4.5	6	
Cluster_1_muOR_6QZH_0118.pdb	5.0	8	
Cluster_1_muOR_6QZH_0126.pdb	4.5	6	
Cluster_1_muOR_6QZH_0133.pdb	8.0	12	
Cluster_1_muOR_6QZH_0138.pdb	7.0	9	
Cluster_1_muOR_6QZH_0139.pdb	9.5	12	
Cluster_1_muOR_6QZH_0144.pdb	5.0	8	
Cluster_1_muOR_6QZH_0138_2.pdb	7.0	9	
Cluster_1_muOR_6QZH_0145.pdb	4.5	6	
Cluster_1_muOR_6QZH_0154.pdb	5.5	6	
Cluster_1_muOR_6QZH_0157.pdb	6.0	9	
Cluster_1_muOR_6QZH_0161.pdb	6.0	8	
Cluster_1_muOR_6QZH_0164.pdb	5.5	7	
Cluster_1_muOR_6QZH_0182_2.pdb	8.5	13	
Cluster_1_muOR_6QZH_0195.pdb	5.0	7	
Cluster_1_muOR_6QZH_0182_3.pdb	8.5	13	
Cluster_1_muOR_6QZH_0191.pdb	6.5	10	
Cluster_1_muOR_6QZH_0182.pdb	8.5	13	
Cluster_1_muOR_6QZH_0198.pdb	5.0	6	
Cluster_1_muOR_6QZH_0201.pdb	4.5	5	
Cluster_1_muOR_6QZH_0206.pdb	3.0	4	
Cluster_1_muOR_6QZH_0208.pdb	6.5	8	
Cluster_1_muOR_6QZH_0211.pdb	4.0	6	
Cluster_1_muOR_6QZH_0212.pdb	6.0	8	
Cluster_1_muOR_6QZH_0209.pdb	6.0	10	
Cluster_1_muOR_6QZH_0209_2.pdb	6.0	10	
Cluster_1_muOR_6QZH_0219.pdb	5.5	7	
Cluster_1_muOR_6QZH_0222.pdb	4.5	5	
Cluster_1_muOR_6QZH_0224.pdb	5.5	8	
Cluster_1_muOR_6QZH_0236.pdb	6.0	9	
Cluster_1_muOR_6QZH_0227.pdb	6.0	8	
Cluster_1_muOR_6QZH_0225_2.pdb	8.0	11	
Cluster_1_muOR_6QZH_0225.pdb	8.0	11	
Cluster_1_muOR_6QZH_0227_2.pdb	6.0	8	
Cluster_1_muOR_6QZH_0237.pdb	4.5	7	
Cluster_1_muOR_6QZH_0242.pdb	7.0	10	
Cluster_1_muOR_6QZH_0243.pdb	4.5	6	
Cluster_1_muOR_6QZH_0252.pdb	5.0	7	
Cluster_1_muOR_6QZH_0246.pdb	4.0	6	
Cluster_1_muOR_6QZH_0264.pdb	5.5	6	
Cluster_1_muOR_6QZH_0256.pdb	7.5	10	
Cluster_1_muOR_6QZH_0249.pdb	7.5	10	
Cluster_1_muOR_6QZH_0251.pdb	6.0	7	
Cluster_1_muOR_6QZH_0265.pdb	6.5	11	
Cluster_1_muOR_6QZH_0269.pdb	5.5	7	
Cluster_1_muOR_6QZH_0269_2.pdb	5.5	7	
Cluster_1_muOR_6QZH_0280.pdb	4.0	5	
Cluster_1_muOR_6QZH_0274.pdb	6.0	9	
Cluster_1_muOR_6QZH_0282_2.pdb	6.0	6	
Cluster_1_muOR_6QZH_0282.pdb	6.0	6	
Cluster_1_muOR_6QZH_0276.pdb	6.0	7	
Cluster_1_muOR_6QZH_0287.pdb	7.5	9	
Cluster_1_muOR_6QZH_0287_2.pdb	7.5	9	
Cluster_1_muOR_6QZH_0297.pdb	4.5	6	
Cluster_1_muOR_6QZH_0308.pdb	5.0	6	
Cluster_1_muOR_6QZH_0303.pdb	7.5	10	
Cluster_1_muOR_6QZH_0304.pdb	8.0	13	
Cluster_1_muOR_6QZH_0316.pdb	8.0	12	
Cluster_1_muOR_6QZH_0316_2.pdb	8.0	12	
Cluster_1_muOR_6QZH_0319.pdb	8.5	12	
Cluster_1_muOR_6QZH_0319_2.pdb	8.5	12	
Cluster_1_muOR_6QZH_0325.pdb	4.0	6	
Cluster_1_muOR_6QZH_0336_2.pdb	7.5	11	
Cluster_1_muOR_6QZH_0361.pdb	6.0	9	
Cluster_1_muOR_6QZH_0346.pdb	7.0	8	
Cluster_1_muOR_6QZH_0336.pdb	7.5	11	
Cluster_1_muOR_6QZH_0361_2.pdb	6.0	9	
Cluster_1_muOR_6QZH_0375.pdb	4.0	5	
Cluster_1_muOR_6QZH_0379.pdb	5.5	7	
Cluster_1_muOR_6QZH_0381.pdb	4.0	4	
Cluster_1_muOR_6QZH_0383.pdb	6.0	6	
Cluster_1_muOR_6QZH_0399.pdb	4.5	6	
Cluster_1_muOR_6QZH_0387.pdb	4.5	6	
Cluster_1_muOR_6QZH_0386.pdb	6.0	8	
Cluster_1_muOR_6QZH_0409.pdb	5.0	6	
Cluster_1_muOR_6QZH_0429.pdb	6.5	9	
Cluster_1_muOR_6QZH_0429_2.pdb	6.5	9	
Cluster_1_muOR_6QZH_0431.pdb	9.0	15	
Cluster_1_muOR_6QZH_0449.pdb	4.5	6	
Cluster_1_muOR_6QZH_0440.pdb	6.0	8	
Cluster_1_muOR_6QZH_0450.pdb	5.5	7	
Cluster_1_muOR_6QZH_0438.pdb	6.0	7	
Cluster_1_muOR_6QZH_0453.pdb	4.0	5	
Cluster_1_muOR_6QZH_0451.pdb	8.5	12	
Cluster_1_muOR_6QZH_0460.pdb	7.5	9	
Cluster_1_muOR_6QZH_0460_2.pdb	7.5	9	
Cluster_1_muOR_6QZH_0471.pdb	4.5	5	
Cluster_1_muOR_6QZH_0485.pdb	6.0	9	
Cluster_1_muOR_6QZH_0470.pdb	6.5	11	
Cluster_1_muOR_6QZH_0468.pdb	10.5	17	
Cluster_1_muOR_6QZH_0491.pdb	5.0	7	
Cluster_1_muOR_6QZH_0468_2.pdb	10.5	17	
Cluster_1_muOR_6QZH_0497.pdb	5.0	8	
Cluster_1_muOR_6QZH_0497_2.pdb	5.0	8	
Cluster_1_muOR_6QZH_0501.pdb	7.5	9	
Cluster_1_muOR_6QZH_0513.pdb	4.5	6	
Cluster_1_muOR_6QZH_0509.pdb	7.0	9	
Cluster_1_muOR_6QZH_0521.pdb	6.5	7	
Cluster_1_muOR_6QZH_0503.pdb	7.5	11	
Cluster_1_muOR_6QZH_0520.pdb	4.5	6	
Cluster_1_muOR_6QZH_0523.pdb	6.0	8	
Cluster_1_muOR_6QZH_0530.pdb	4.5	6	
Cluster_1_muOR_6QZH_0533.pdb	7.0	11	
Cluster_1_muOR_6QZH_0551.pdb	4.5	6	
Cluster_1_muOR_6QZH_0533_2.pdb	7.0	11	
Cluster_1_muOR_6QZH_0551_2.pdb	4.5	6	
Cluster_1_muOR_6QZH_0553.pdb	5.5	8	
Cluster_1_muOR_6QZH_0561.pdb	9.5	15	
Cluster_1_muOR_6QZH_0561_2.pdb	9.5	15	
Cluster_1_muOR_6QZH_0565.pdb	7.0	8	
Cluster_1_muOR_6QZH_0569.pdb	4.5	6	
Cluster_1_muOR_6QZH_0577.pdb	6.0	8	
Cluster_1_muOR_6QZH_0576.pdb	5.5	7	
Cluster_1_muOR_6QZH_0583.pdb	5.0	6	
Cluster_1_muOR_6QZH_0588.pdb	7.5	11	
Cluster_1_muOR_6QZH_0590.pdb	7.0	9	
Cluster_1_muOR_6QZH_0595.pdb	6.0	8	
Cluster_1_muOR_6QZH_0597.pdb	5.0	6	
Cluster_1_muOR_6QZH_0597_2.pdb	5.0	6	
Cluster_1_muOR_6QZH_0603.pdb	4.5	7	
Cluster_1_muOR_6QZH_0601.pdb	5.5	7	
Cluster_1_muOR_6QZH_0604.pdb	6.5	8	
Cluster_1_muOR_6QZH_0616.pdb	5.5	7	
Cluster_1_muOR_6QZH_0604_2.pdb	6.5	8	
Cluster_1_muOR_6QZH_0623.pdb	4.0	7	
Cluster_1_muOR_6QZH_0632.pdb	3.0	3	
Cluster_1_muOR_6QZH_0626.pdb	6.0	9	
Cluster_1_muOR_6QZH_0633.pdb	5.5	7	
Cluster_1_muOR_6QZH_0635.pdb	6.0	8	
Cluster_1_muOR_6QZH_0637.pdb	7.0	10	
Cluster_1_muOR_6QZH_0652.pdb	6.5	8	
Cluster_1_muOR_6QZH_0646.pdb	4.5	7	
Cluster_1_muOR_6QZH_0641.pdb	5.5	7	
Cluster_1_muOR_6QZH_0661.pdb	4.5	6	
Cluster_1_muOR_6QZH_0659.pdb	7.5	12	
Cluster_1_muOR_6QZH_0667.pdb	5.0	6	
Cluster_1_muOR_6QZH_0684.pdb	3.5	5	
Cluster_1_muOR_6QZH_0693.pdb	6.0	8	
Cluster_1_muOR_6QZH_0688.pdb	7.0	10	
Cluster_1_muOR_6QZH_0690.pdb	5.5	7	
Cluster_1_muOR_6QZH_0697.pdb	8.5	14	
Cluster_1_muOR_6QZH_0703.pdb	4.5	6	
Cluster_1_muOR_6QZH_0702.pdb	7.0	12	
Cluster_1_muOR_6QZH_0711.pdb	5.5	7	
Cluster_1_muOR_6QZH_0707.pdb	6.5	8	
Cluster_1_muOR_6QZH_0717.pdb	5.5	10	
Cluster_1_muOR_6QZH_0724.pdb	5.5	8	
Cluster_1_muOR_6QZH_0723.pdb	6.0	8	
Cluster_1_muOR_6QZH_0727.pdb	5.5	7	
Cluster_1_muOR_6QZH_0728.pdb	3.5	4	
Cluster_1_muOR_6QZH_0734.pdb	5.0	7	
Cluster_1_muOR_6QZH_0729.pdb	8.5	13	
Cluster_1_muOR_6QZH_0735.pdb	6.5	8	
Cluster_1_muOR_6QZH_0762.pdb	7.5	11	
Cluster_1_muOR_6QZH_0761.pdb	6.0	8	
Cluster_1_muOR_6QZH_0766.pdb	7.5	13	
Cluster_1_muOR_6QZH_0767.pdb	3.5	5	
Cluster_1_muOR_6QZH_0771.pdb	6.0	8	
Cluster_1_muOR_6QZH_0798.pdb	8.5	12	
Cluster_1_muOR_6QZH_0815.pdb	4.5	6	
Cluster_1_muOR_6QZH_0819.pdb	9.0	15	
Cluster_1_muOR_6QZH_0824.pdb	7.5	10	
Cluster_1_muOR_6QZH_0821.pdb	6.0	8	
Cluster_1_muOR_6QZH_0825.pdb	5.5	6	
Cluster_1_muOR_6QZH_0851.pdb	7.0	10	
Cluster_1_muOR_6QZH_0863.pdb	7.0	10	
Cluster_1_muOR_6QZH_0890.pdb	7.0	8	
Cluster_1_muOR_6QZH_0880.pdb	6.0	8	
Cluster_1_muOR_6QZH_0917.pdb	4.5	6	
Cluster_1_muOR_6QZH_0907.pdb	5.5	8	
Cluster_1_muOR_6QZH_0940.pdb	4.5	6	
Cluster_2_muOR_6QZH_0004.pdb	6.0	8	
Cluster_1_muOR_6QZH_0958.pdb	6.5	7	
Cluster_2_muOR_6QZH_0004_2.pdb	6.0	8	
Cluster_2_muOR_6QZH_0005.pdb	11.0	16	
Cluster_2_muOR_6QZH_0012.pdb	6.0	8	
Cluster_2_muOR_6QZH_0014.pdb	5.5	8	
Cluster_2_muOR_6QZH_0005_2.pdb	11.0	16	
Cluster_2_muOR_6QZH_0008.pdb	5.5	8	
Cluster_2_muOR_6QZH_0025_2.pdb	6.0	9	
Cluster_2_muOR_6QZH_0025.pdb	6.0	9	
Cluster_2_muOR_6QZH_0032.pdb	4.5	7	
Cluster_2_muOR_6QZH_0033_2.pdb	6.5	10	
Cluster_2_muOR_6QZH_0043.pdb	4.0	7	
Cluster_2_muOR_6QZH_0033.pdb	6.5	10	
Cluster_2_muOR_6QZH_0043_2.pdb	4.0	7	
Cluster_2_muOR_6QZH_0037.pdb	5.0	7	
Cluster_2_muOR_6QZH_0061.pdb	9.5	15	
Cluster_2_muOR_6QZH_0067.pdb	6.0	9	
Cluster_2_muOR_6QZH_0061_2.pdb	9.5	15	
Cluster_2_muOR_6QZH_0081.pdb	5.5	6	
Cluster_2_muOR_6QZH_0074.pdb	7.0	10	
Cluster_2_muOR_6QZH_0075_2.pdb	7.0	8	
Cluster_2_muOR_6QZH_0083.pdb	8.0	11	
Cluster_2_muOR_6QZH_0075.pdb	7.0	8	
Cluster_2_muOR_6QZH_0090_2.pdb	9.5	15	
Cluster_2_muOR_6QZH_0098.pdb	7.5	10	
Cluster_2_muOR_6QZH_0090.pdb	9.5	15	
Cluster_2_muOR_6QZH_0105.pdb	5.5	6	
Cluster_2_muOR_6QZH_0119.pdb	4.0	5	
Cluster_2_muOR_6QZH_0119_2.pdb	4.0	5	
Cluster_2_muOR_6QZH_0098_2.pdb	7.5	10	
Cluster_2_muOR_6QZH_0121.pdb	5.0	6	
Cluster_2_muOR_6QZH_0123.pdb	5.5	6	
Cluster_2_muOR_6QZH_0126.pdb	4.5	6	
Cluster_2_muOR_6QZH_0128.pdb	7.5	11	
Cluster_2_muOR_6QZH_0130.pdb	4.5	6	
Cluster_2_muOR_6QZH_0130_2.pdb	4.5	6	
Cluster_2_muOR_6QZH_0147.pdb	6.5	8	
Cluster_2_muOR_6QZH_0149.pdb	5.5	7	
Cluster_2_muOR_6QZH_0139.pdb	9.5	12	
Cluster_2_muOR_6QZH_0151.pdb	7.5	10	
Cluster_2_muOR_6QZH_0152.pdb	6.5	8	
Cluster_2_muOR_6QZH_0152_2.pdb	6.5	8	
Cluster_2_muOR_6QZH_0162.pdb	3.5	4	
Cluster_2_muOR_6QZH_0172.pdb	7.0	8	
Cluster_2_muOR_6QZH_0172_2.pdb	7.0	8	
Cluster_2_muOR_6QZH_0189.pdb	4.5	6	
Cluster_2_muOR_6QZH_0188.pdb	4.0	5	
Cluster_2_muOR_6QZH_0189_2.pdb	4.5	6	
Cluster_2_muOR_6QZH_0200.pdb	5.0	6	
Cluster_2_muOR_6QZH_0191.pdb	6.5	10	
Cluster_2_muOR_6QZH_0192.pdb	8.5	12	
Cluster_2_muOR_6QZH_0191_2.pdb	6.5	10	
Cluster_2_muOR_6QZH_0200_2.pdb	5.0	6	
Cluster_2_muOR_6QZH_0207.pdb	4.5	6	
Cluster_2_muOR_6QZH_0224.pdb	5.5	8	
Cluster_2_muOR_6QZH_0275.pdb	5.5	6	
Cluster_2_muOR_6QZH_0224_2.pdb	5.5	8	
Cluster_2_muOR_6QZH_0238.pdb	5.0	8	
Cluster_2_muOR_6QZH_0287.pdb	7.5	9	
Cluster_2_muOR_6QZH_0291.pdb	6.0	7	
Cluster_2_muOR_6QZH_0255.pdb	3.5	5	
Cluster_2_muOR_6QZH_0312.pdb	6.5	8	
Cluster_2_muOR_6QZH_0304.pdb	8.0	13	
Cluster_2_muOR_6QZH_0321.pdb	4.5	8	
Cluster_2_muOR_6QZH_0332.pdb	3.5	5	
Cluster_2_muOR_6QZH_0323.pdb	6.5	9	
Cluster_2_muOR_6QZH_0331.pdb	5.5	9	
Cluster_2_muOR_6QZH_0312_2.pdb	6.5	8	
Cluster_2_muOR_6QZH_0335.pdb	6.5	8	
Cluster_2_muOR_6QZH_0347.pdb	5.0	7	
Cluster_2_muOR_6QZH_0339.pdb	4.5	6	
Cluster_2_muOR_6QZH_0352.pdb	6.0	7	
Cluster_2_muOR_6QZH_0352_2.pdb	6.0	7	
Cluster_2_muOR_6QZH_0384.pdb	6.0	6	
Cluster_2_muOR_6QZH_0353.pdb	4.5	6	
Cluster_2_muOR_6QZH_0387.pdb	4.5	6	
Cluster_2_muOR_6QZH_0364.pdb	4.5	7	
Cluster_2_muOR_6QZH_0388.pdb	5.0	7	
Cluster_2_muOR_6QZH_0388_2.pdb	5.0	7	
Cluster_2_muOR_6QZH_0390.pdb	5.5	7	
Cluster_2_muOR_6QZH_0406.pdb	3.5	6	
Cluster_2_muOR_6QZH_0395.pdb	7.0	9	
Cluster_2_muOR_6QZH_0394.pdb	6.0	7	
Cluster_2_muOR_6QZH_0395_2.pdb	7.0	9	
Cluster_2_muOR_6QZH_0406_2.pdb	3.5	6	
Cluster_2_muOR_6QZH_0410_2.pdb	6.5	9	
Cluster_2_muOR_6QZH_0410.pdb	6.5	9	
Cluster_2_muOR_6QZH_0429.pdb	6.5	9	
Cluster_2_muOR_6QZH_0420.pdb	4.5	5	
Cluster_2_muOR_6QZH_0412.pdb	7.0	11	
Cluster_2_muOR_6QZH_0413.pdb	6.5	10	
Cluster_2_muOR_6QZH_0446.pdb	6.5	8	
Cluster_2_muOR_6QZH_0433.pdb	12.0	17	
Cluster_2_muOR_6QZH_0448.pdb	5.5	7	
Cluster_2_muOR_6QZH_0446_2.pdb	6.5	8	
Cluster_2_muOR_6QZH_0448_2.pdb	5.5	7	
Cluster_2_muOR_6QZH_0451.pdb	8.5	12	
Cluster_2_muOR_6QZH_0465.pdb	5.5	8	
Cluster_2_muOR_6QZH_0458.pdb	8.0	12	
Cluster_2_muOR_6QZH_0458_2.pdb	8.0	12	
Cluster_2_muOR_6QZH_0465_2.pdb	5.5	8	
Cluster_2_muOR_6QZH_0469.pdb	4.0	5	
Cluster_2_muOR_6QZH_0469_2.pdb	4.0	5	
Cluster_2_muOR_6QZH_0479.pdb	4.5	6	
Cluster_2_muOR_6QZH_0479_2.pdb	4.5	6	
Cluster_2_muOR_6QZH_0494.pdb	5.0	6	
Cluster_2_muOR_6QZH_0504.pdb	6.0	7	
Cluster_2_muOR_6QZH_0504_2.pdb	6.0	7	
Cluster_2_muOR_6QZH_0491.pdb	5.0	7	
Cluster_2_muOR_6QZH_0509.pdb	7.0	9	
Cluster_2_muOR_6QZH_0520.pdb	4.5	6	
Cluster_2_muOR_6QZH_0537.pdb	7.0	10	
Cluster_2_muOR_6QZH_0522.pdb	7.0	9	
Cluster_2_muOR_6QZH_0540.pdb	6.0	8	
Cluster_2_muOR_6QZH_0567.pdb	7.0	7	
Cluster_2_muOR_6QZH_0554.pdb	7.0	9	
Cluster_2_muOR_6QZH_0553.pdb	5.5	8	
Cluster_2_muOR_6QZH_0553_2.pdb	5.5	8	
Cluster_2_muOR_6QZH_0561.pdb	9.5	15	
Cluster_2_muOR_6QZH_0576_2.pdb	5.5	7	
Cluster_2_muOR_6QZH_0576.pdb	5.5	7	
Cluster_2_muOR_6QZH_0588.pdb	7.5	11	
Cluster_2_muOR_6QZH_0593.pdb	5.5	7	
Cluster_2_muOR_6QZH_0593_2.pdb	5.5	7	
Cluster_2_muOR_6QZH_0589.pdb	5.5	8	
Cluster_2_muOR_6QZH_0594.pdb	6.0	7	
Cluster_2_muOR_6QZH_0594_2.pdb	6.0	7	
Cluster_2_muOR_6QZH_0599.pdb	6.5	8	
Cluster_2_muOR_6QZH_0607.pdb	5.0	7	
Cluster_2_muOR_6QZH_0601.pdb	5.5	7	
Cluster_2_muOR_6QZH_0617.pdb	5.5	7	
Cluster_2_muOR_6QZH_0607_2.pdb	5.0	7	
Cluster_2_muOR_6QZH_0642.pdb	6.0	7	
Cluster_2_muOR_6QZH_0641.pdb	5.5	7	
Cluster_2_muOR_6QZH_0680.pdb	5.5	9	
Cluster_2_muOR_6QZH_0692.pdb	5.0	6	
Cluster_2_muOR_6QZH_0686.pdb	8.5	11	
Cluster_2_muOR_6QZH_0700.pdb	6.0	7	
Cluster_2_muOR_6QZH_0694.pdb	7.0	9	
Cluster_2_muOR_6QZH_0730.pdb	5.0	6	
Cluster_2_muOR_6QZH_0688.pdb	7.0	10	
Cluster_2_muOR_6QZH_0720.pdb	5.5	7	
Cluster_2_muOR_6QZH_0736.pdb	8.5	15	
Cluster_2_muOR_6QZH_0768.pdb	8.0	9	
Cluster_2_muOR_6QZH_0755.pdb	7.5	11	
Cluster_2_muOR_6QZH_0774.pdb	5.5	7	
Cluster_2_muOR_6QZH_0792.pdb	5.5	8	
Cluster_2_muOR_6QZH_0780.pdb	7.5	10	
Cluster_2_muOR_6QZH_0787.pdb	4.5	7	
Cluster_2_muOR_6QZH_0794.pdb	5.0	8	
Cluster_2_muOR_6QZH_0811.pdb	4.0	4	
Cluster_2_muOR_6QZH_0892.pdb	5.5	7	
Cluster_2_muOR_6QZH_0934.pdb	6.5	9	
Cluster_2_muOR_6QZH_0861.pdb	7.0	10	
Cluster_2_muOR_6QZH_0888.pdb	6.5	9	
Cluster_2_muOR_6QZH_0937.pdb	6.5	8	
Cluster_3_muOR_6QZH_0004.pdb	6.0	8	
Cluster_2_muOR_6QZH_0827.pdb	10.0	15	
Cluster_3_muOR_6QZH_0005.pdb	11.0	16	
Cluster_3_muOR_6QZH_0008.pdb	5.5	8	
Cluster_3_muOR_6QZH_0032.pdb	4.5	7	
Cluster_3_muOR_6QZH_0033.pdb	6.5	10	
Cluster_3_muOR_6QZH_0047.pdb	4.5	5	
Cluster_3_muOR_6QZH_0037.pdb	5.0	7	
Cluster_3_muOR_6QZH_0025.pdb	6.0	9	
Cluster_3_muOR_6QZH_0043.pdb	4.0	7	
Cluster_3_muOR_6QZH_0056.pdb	5.0	6	
Cluster_3_muOR_6QZH_0064.pdb	3.0	4	
Cluster_3_muOR_6QZH_0074.pdb	7.0	10	
Cluster_3_muOR_6QZH_0067.pdb	6.0	9	
Cluster_3_muOR_6QZH_0085.pdb	4.5	5	
Cluster_3_muOR_6QZH_0061.pdb	9.5	15	
Cluster_3_muOR_6QZH_0090.pdb	9.5	15	
Cluster_3_muOR_6QZH_0098.pdb	7.5	10	
Cluster_3_muOR_6QZH_0119.pdb	4.0	5	
Cluster_3_muOR_6QZH_0121.pdb	5.0	6	
Cluster_3_muOR_6QZH_0132.pdb	3.0	4	
Cluster_3_muOR_6QZH_0130.pdb	4.5	6	
Cluster_3_muOR_6QZH_0146.pdb	3.0	4	
Cluster_3_muOR_6QZH_0146_2.pdb	3.0	4	
Cluster_3_muOR_6QZH_0123.pdb	5.5	6	
Cluster_3_muOR_6QZH_0128.pdb	7.5	11	
Cluster_3_muOR_6QZH_0147.pdb	6.5	8	
Cluster_3_muOR_6QZH_0149.pdb	5.5	7	
Cluster_3_muOR_6QZH_0152.pdb	6.5	8	
Cluster_3_muOR_6QZH_0174.pdb	7.0	10	
Cluster_3_muOR_6QZH_0162.pdb	3.5	4	
Cluster_3_muOR_6QZH_0188.pdb	4.0	5	
Cluster_3_muOR_6QZH_0172.pdb	7.0	8	
Cluster_3_muOR_6QZH_0151.pdb	7.5	10	
Cluster_3_muOR_6QZH_0189.pdb	4.5	6	
Cluster_3_muOR_6QZH_0213.pdb	3.0	4	
Cluster_3_muOR_6QZH_0246.pdb	4.0	6	
Cluster_3_muOR_6QZH_0207.pdb	4.5	6	
Cluster_3_muOR_6QZH_0205.pdb	4.0	6	
Cluster_3_muOR_6QZH_0253.pdb	4.0	6	
Cluster_3_muOR_6QZH_0238.pdb	5.0	8	
Cluster_3_muOR_6QZH_0192.pdb	8.5	12	
Cluster_3_muOR_6QZH_0255.pdb	3.5	5	
Cluster_3_muOR_6QZH_0275.pdb	5.5	6	
Cluster_3_muOR_6QZH_0310.pdb	3.5	5	
Cluster_3_muOR_6QZH_0314.pdb	4.0	6	
Cluster_3_muOR_6QZH_0321.pdb	4.5	8	
Cluster_3_muOR_6QZH_0312.pdb	6.5	8	
Cluster_3_muOR_6QZH_0331.pdb	5.5	9	
Cluster_3_muOR_6QZH_0323.pdb	6.5	9	
Cluster_3_muOR_6QZH_0332.pdb	3.5	5	
Cluster_3_muOR_6QZH_0342.pdb	3.5	4	
Cluster_3_muOR_6QZH_0335.pdb	6.5	8	
Cluster_3_muOR_6QZH_0347.pdb	5.0	7	
Cluster_3_muOR_6QZH_0353.pdb	4.5	6	
Cluster_3_muOR_6QZH_0380.pdb	4.5	6	
Cluster_3_muOR_6QZH_0352.pdb	6.0	7	
Cluster_3_muOR_6QZH_0364.pdb	4.5	7	
Cluster_3_muOR_6QZH_0380_2.pdb	4.5	6	
Cluster_3_muOR_6QZH_0384.pdb	6.0	6	
Cluster_3_muOR_6QZH_0388.pdb	5.0	7	
Cluster_3_muOR_6QZH_0390.pdb	5.5	7	
Cluster_3_muOR_6QZH_0394.pdb	6.0	7	
Cluster_3_muOR_6QZH_0406.pdb	3.5	6	
Cluster_3_muOR_6QZH_0395.pdb	7.0	9	
Cluster_3_muOR_6QZH_0408.pdb	4.5	5	
Cluster_3_muOR_6QZH_0410.pdb	6.5	9	
Cluster_3_muOR_6QZH_0413.pdb	6.5	10	
Cluster_3_muOR_6QZH_0423.pdb	3.0	4	
Cluster_3_muOR_6QZH_0420.pdb	4.5	5	
Cluster_3_muOR_6QZH_0428.pdb	4.5	7	
